Group,Genus species,brain mass,Ref. brain mass,body mass,Ref. body mass,hibernation,Ref. hibernation,diurnality,Ref. diurnality,substrate use,Ref. substrate use,diet,Ref. diet,mid-latitude of geographical distribution ,Ref. mid-latitude of geographical distribution
Afrosoricida,Chrysochloris asiatica,0.70,Bauchot and Stephan 1966,49.00,Bauchot and Stephan 1966,0,Botero et al 2013,1,Animal Diversity Web,2,Animal Diversity Web,4,Animal Diversity Web,-32.08,Jones et al 2009
Afrosoricida,Chrysochloris stuhlmanni,0.74,Bauchot and Stephan 1966,39.11,Bauchot and Stephan 1966,0,Botero et al 2013,1,Animal Diversity Web,2,Animal Diversity Web,4,Animal Diversity Web,-1.35,Jones et al 2009
Afrosoricida,Echinops telfairi,0.58,Isler and van Schaik 2012,72.37,Isler and van Schaik 2012,1,Ruf and Geiser 2014,0,Isler and van Schaik 2012,4,Isler and van Schaik 2012,4,Isler and van Schaik 2012,-22.58,Jones et al 2009
Afrosoricida,Hemicentetes semispinosus,0.74,Bauchot and Stephan 1966,76.58,Bauchot and Stephan 1966,0,Botero et al 2013,0,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Animal Diversity Web,-19.31,Jones et al 2009
Afrosoricida,Microgale dobsoni,0.56,Isler and van Schaik 2012,37.87,Isler and van Schaik 2012,0,Botero et al 2013,0,Isler and van Schaik 2012,3,Isler and van Schaik 2012,4,Isler and van Schaik 2012,-18.56,Jones et al 2009
Afrosoricida,Microgale talazaci,0.76,Bauchot and Stephan 1966,42.26,Bauchot and Stephan 1966,0,Botero et al 2013,0,Animal Diversity Web,4,Animal Diversity Web,4,Animal Diversity Web,-17.69,Jones et al 2009
Afrosoricida,Micropotamogale lamottei,0.80,Stephan et al 1981,64.20,Stephan et al 1981,0,Botero et al 2013,0,Animal Diversity Web,1,Animal Diversity Web,4,Animal Diversity Web,7.03,Jones et al 2009
Afrosoricida,Oryzorictes hova,0.58,Bauchot and Stephan 1966,44.20,Bauchot and Stephan 1966,0,Botero et al 2013,0,Animal Diversity Web,2,Animal Diversity Web,4,Animal Diversity Web,-16.96,Jones et al 2009
Afrosoricida,Potamogale velox,4.25,Bauchot and Stephan 1966,677.00,Bauchot and Stephan 1966,0,Botero et al 2013,0,Animal Diversity Web,3,Jones et al 2009,4,Animal Diversity Web,-2.03,Jones et al 2009
Afrosoricida,Setifer setosus,1.59,Isler and van Schaik 2012,234.25,Isler and van Schaik 2012,1,Ruf and Geiser 2014,0,Isler and van Schaik 2012,3,Isler and van Schaik 2012,4,Isler and van Schaik 2012,-18.96,Jones et al 2009
Afrosoricida,Tenrec ecaudatus,2.44,Isler and van Schaik 2012,600.00,Isler and van Schaik 2012,1,Botero et al 2013,0,Isler and van Schaik 2012,3,Isler and van Schaik 2012,4,Isler and van Schaik 2012,-18.96,Jones et al 2009
Artiodactyla,Addax nasomaculatus,185.00,Isler and van Schaik 2012,107000.00,Isler and van Schaik 2012,0,Botero et al 2013,0,Myers et al 2006,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,20.52,Jones et al 2009
Artiodactyla,Aepyceros melampus,181.72,Isler and van Schaik 2012,47000.00,Isler and van Schaik 2012,0,Botero et al 2013,0,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,-12.91,Jones et al 2009
Artiodactyla,Alcelaphus buselaphus,284.90,Isler and van Schaik 2012,114750.00,Isler and van Schaik 2012,0,Botero et al 2013,1,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,5.81,Jones et al 2009
Artiodactyla,Alcelaphus lichtensteinii,357.00,Oboussier 1972,165000.00,Oboussier 1972,0,Geiser1998,1,Wilman et al 2014,3,Animal Diversity Web,1,Wilman et al 2014,-11.63,Jones et al 2009
Artiodactyla,Alces alces,483.33,Heldstab et al 2016,272160.00,Isler and van Schaik 2012,0,Botero et al 2013,0,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,58.50,IUCN 2017
Artiodactyla,Ammotragus lervia,209.00,Isler and van Schaik 2012,110000.00,Isler and van Schaik 2012,0,Botero et al 2013,1,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,24.84,Jones et al 2009
Artiodactyla,Antidorcas marsupialis,109.17,Graber and Heldstab unpublished data,36518.00,Isler and van Schaik 2012,0,Botero et al 2013,0,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,-20.74,Jones et al 2009
Artiodactyla,Antilocapra americana,125.60,Isler and van Schaik 2012,46750.00,Isler and van Schaik 2012,0,Botero et al 2013,0,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,37.21,Jones et al 2009
Artiodactyla,Antilope cervicapra,111.83,Graber and Heldstab unpublished data,28800.00,Isler and van Schaik 2012,0,Botero et al 2013,0,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,18.75,Jones et al 2009
Artiodactyla,Axis axis,188.00,Graber and Heldstab unpublished data,88450.00,Isler and van Schaik 2012,0,Botero et al 2013,0,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,17.25,Jones et al 2009
Artiodactyla,Axis porcinus,130.17,Graber and Heldstab unpublished data,30000.00,Isler and van Schaik 2012,0,Botero et al 2013,0,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,20.57,Jones et al 2009
Artiodactyla,Babyrousa babyrussa,127.00,Isler and van Schaik 2012,78000.00,Isler and van Schaik 2012,0,Botero et al 2013,1,Isler and van Schaik 2012,3,Isler and van Schaik 2012,2,Isler and van Schaik 2012,-2.73,Jones et al 2009
Artiodactyla,Bison bison,458.00,Isler and van Schaik 2012,431500.00,Isler and van Schaik 2012,0,Botero et al 2013,0,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,44.31,Jones et al 2009
Artiodactyla,Bos taurus,452.80,Isler and van Schaik 2012,461000.00,Isler and van Schaik 2012,0,Geiser1998,1,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,13.46,Jones et al 2009
Artiodactyla,Boselaphus tragocamelus,267.17,Isler and van Schaik 2012,125000.00,Isler and van Schaik 2012,0,Botero et al 2013,1,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,22.35,Jones et al 2009
Artiodactyla,Camelus bactrianus,640.00,Graber and Heldstab unpublished data,475000.00,Animal Diversity Web,0,Geiser1998,1,Animal Diversity Web,3,Jones et al 2009,1,Animal Diversity Web,41.34,Jones et al 2009
Artiodactyla,Camelus dromedarius,525.00,Graber and Heldstab unpublished data,400000.00,Isler and van Schaik 2012,0,Geiser1998,1,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,16.70,IUCN 2017
Artiodactyla,Capreolus capreolus,107.50,Heldstab et al 2016,17472.40,Isler and van Schaik 2012,0,Botero et al 2013,0,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,51.25,Jones et al 2009
Artiodactyla,Cephalophus dorsalis,79.17,Graber and Heldstab unpublished data,20650.00,Isler and van Schaik 2009,0,Botero et al 2013,0,Animal Diversity Web,3,Jones et al 2009,2,Animal Diversity Web,1.14,Jones et al 2009
Artiodactyla,Cephalophus leucogaster,89.75,Graber and Heldstab unpublished data,13000.00,Oboussier and Schliemann 1966,0,Botero et al 2013,0,Animal Diversity Web,3,Jones et al 2009,2,Animal Diversity Web,-0.45,Jones et al 2009
Artiodactyla,Cephalophus natalensis,74.50,Haarmann and Oboussier 1972,11500.00,Haarmann and Oboussier 1972,0,Botero et al 2013,0,Animal Diversity Web,3,Jones et al 2009,2,Animal Diversity Web,-19.25,Jones et al 2009
Artiodactyla,Cephalophus nigrifrons,86.67,Graber and Heldstab unpublished data,14500.00,Haarmann and Oboussier 1972,0,Botero et al 2013,0,Animal Diversity Web,3,Jones et al 2009,2,Animal Diversity Web,-2.36,Jones et al 2009
Artiodactyla,Cephalophus silvicultor,173.33,Graber and Heldstab unpublished data,43000.00,Isler and van Schaik 2012,0,Botero et al 2013,0,Isler and van Schaik 2012,3,Isler and van Schaik 2012,2,Isler and van Schaik 2012,-1.89,Jones et al 2009
Artiodactyla,Cephalophus zebra,83.00,Isler and van Schaik 2012,10000.00,Isler and van Schaik 2012,0,Botero et al 2013,0,Isler and van Schaik 2012,3,Isler and van Schaik 2012,2,Isler and van Schaik 2012,6.45,Jones et al 2009
Artiodactyla,Cervus elaphus,485.00,Graber and Heldstab unpublished data,120176.67,Isler and van Schaik 2012,0,Botero et al 2013,0,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,46.41,Jones et al 2009
Artiodactyla,Cervus nippon,158.00,Graber and Heldstab unpublished data,20100.00,Isler and van Schaik 2009,0,Geiser1998,0,Animal Diversity Web,3,Jones et al 2009,1,Animal Diversity Web,33.97,Jones et al 2009
Artiodactyla,Connochaetes gnou,340.00,Graber and Heldstab unpublished data,155000.00,"Oboussier 1969, 1972",0,Botero et al 2013,1,Animal Diversity Web,3,Jones et al 2009,1,Animal Diversity Web,-28.83,Jones et al 2009
Artiodactyla,Connochaetes taurinus,395.00,Graber and Heldstab unpublished data,154666.67,Isler and van Schaik 2012,0,Botero et al 2013,1,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,-15.63,Jones et al 2009
Artiodactyla,Dama dama,195.83,Heldstab et al 2016,37195.00,Isler and van Schaik 2012,0,Geiser1998,0,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,48.26,Jones et al 2009
Artiodactyla,Damaliscus lunatus,295.83,Graber and Heldstab unpublished data,111000.00,Isler and van Schaik 2012,0,Botero et al 2013,0,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,-16.46,Jones et al 2009
Artiodactyla,Eudorcas rufifrons,97.50,Graber and Heldstab unpublished data,26000.00,Oboussier 1974,0,Geiser1998,1,Wilman et al 2014,3,Jones et al 2009,1,Jones et al 2009,13.80,Jones et al 2009
Artiodactyla,Eudorcas thomsonii,88.04,Graber and Heldstab unpublished data,17000.00,Crile and Quiring 1940,0,Geiser1998,1,Animal Diversity Web,3,Animal Diversity Web,1,Animal Diversity Web,1.91,Jones et al 2009
Artiodactyla,Gazella dorcas,73.75,Graber and Heldstab unpublished data,17275.00,Isler and van Schaik 2012,0,Botero et al 2013,1,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,23.60,Jones et al 2009
Artiodactyla,Gazella gazella,76.43,Graber and Heldstab unpublished data,21306.83,Botero et al 2013,0,Botero et al 2013,1,Animal Diversity Web,3,Jones et al 2009,1,Animal Diversity Web,23.49,Jones et al 2009
Artiodactyla,Giraffa camelopardalis,678.33,Isler and van Schaik 2012,828000.00,Isler and van Schaik 2012,0,Botero et al 2013,0,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,-4.62,Jones et al 2009
Artiodactyla,Hippopotamus amphibius,823.33,Graber and Heldstab unpublished data,1553000.00,Isler and van Schaik 2012,0,Botero et al 2013,0,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,-6.86,Jones et al 2009
Artiodactyla,Hippotragus equinus,392.50,Graber and Heldstab unpublished data,238375.00,Isler and van Schaik 2012,0,Botero et al 2013,1,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,-4.58,Jones et al 2009
Artiodactyla,Hippotragus niger,337.50,Graber and Heldstab unpublished data,165000.00,Isler and van Schaik 2012,0,Botero et al 2013,1,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,-13.63,Jones et al 2009
Artiodactyla,Hydropotes inermis,50.33,Graber and Heldstab unpublished data,15400.00,Isler and van Schaik 2009,0,Botero et al 2013,0,Jones et al 2009,3,Animal Diversity Web,1,Animal Diversity Web,28.91,Jones et al 2009
Artiodactyla,Hyemoschus aquaticus,33.83,Graber and Heldstab unpublished data,10800.00,Isler and van Schaik 2012,0,Botero et al 2013,0,Isler and van Schaik 2012,3,Isler and van Schaik 2012,2,Isler and van Schaik 2012,1.10,Jones et al 2009
Artiodactyla,Kobus ellipsiprymnus,278.13,Graber and Heldstab unpublished data,230200.00,Isler and van Schaik 2012,0,Botero et al 2013,1,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,-6.47,Jones et al 2009
Artiodactyla,Kobus kob,184.83,Graber and Heldstab unpublished data,117500.00,Isler and van Schaik 2012,0,Botero et al 2013,1,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,6.17,Jones et al 2009
Artiodactyla,Kobus leche,184.00,Graber and Heldstab unpublished data,123000.00,Isler and van Schaik 2012,0,Botero et al 2013,1,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,-14.22,Jones et al 2009
Artiodactyla,Lama glama,233.40,Graber and Heldstab unpublished data,90217.00,Isler and van Schaik 2012,0,Geiser1998,1,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,-40.00,IUCN 2017
Artiodactyla,Litocranius walleri,118.57,Graber and Heldstab unpublished data,39750.00,Isler and van Schaik 2012,0,Botero et al 2013,1,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,2.96,Jones et al 2009
Artiodactyla,Madoqua kirkii,32.10,Graber and Heldstab unpublished data,4345.00,Isler and van Schaik 2012,0,Botero et al 2013,0,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,-6.58,Jones et al 2009
Artiodactyla,Madoqua saltiana,23.25,Graber and Heldstab unpublished data,5000.00,Bauchot 1985,0,Botero et al 2013,0,Jones et al 2009,3,Animal Diversity Web,1,Animal Diversity Web,9.77,Jones et al 2009
Artiodactyla,Moschiola meminna,16.96,Weber 1896 and Warncke 1908,2071.20,Weber 1896 and Warncke 1908,0,Botero et al 2013,0,Jones et al 2009,3,Jones et al 2009,2,Animal Diversity Web,14.97,Jones et al 2009
Artiodactyla,Muntiacus muntjak,103.42,Graber and Heldstab unpublished data,16600.00,Isler and van Schaik 2012,0,Botero et al 2013,0,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,11.79,Jones et al 2009
Artiodactyla,Muntiacus reevesi,70.17,Graber and Heldstab unpublished data,13499.94,Botero et al 2013,0,Botero et al 2013,0,Jones et al 2009,3,Animal Diversity Web,3,Animal Diversity Web,27.17,Jones et al 2009
Artiodactyla,Nanger granti,148.67,Graber and Heldstab unpublished data,40500.00,Isler and van Schaik 2012,0,Geiser1998,1,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,0.28,Jones et al 2009
Artiodactyla,Neotragus moschatus,34.00,Oboussier and Schliemann 1966,3350.00,Oboussier and Schliemann 1966,0,Geiser1998,0,Animal Diversity Web,3,Jones et al 2009,1,Animal Diversity Web,-13.29,Jones et al 2009
Artiodactyla,Odocoileus hemionus,194.67,Heldstab et al 2016,58990.00,Isler and van Schaik 2012,0,Botero et al 2013,0,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,41.77,Jones et al 2009
Artiodactyla,Odocoileus virginianus,158.00,Graber and Heldstab unpublished data,63300.00,Isler and van Schaik 2012,0,Botero et al 2013,0,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,21.89,Jones et al 2009
Artiodactyla,Oreotragus oreotragus,61.00,Graber and Heldstab unpublished data,11000.00,Isler and van Schaik 2012,0,Botero et al 2013,1,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,-7.77,Jones et al 2009
Artiodactyla,Oryx dammah,205.00,Graber and Heldstab unpublished data,129500.00,Oboussier 1974,0,Botero et al 2013,1,Wilman et al 2014,3,Jones et al 2009,1,Animal Diversity Web,16.24,Jones et al 2009
Artiodactyla,Oryx gazella,287.86,Graber and Heldstab unpublished data,165000.00,Isler and van Schaik 2012,0,Geiser1998,1,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,-8.27,Jones et al 2009
Artiodactyla,Ourebia ourebi,62.33,Graber and Heldstab unpublished data,14617.00,Isler and van Schaik 2012,0,Botero et al 2013,0,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,-8.62,Jones et al 2009
Artiodactyla,Ovibos moschatus,350.00,Heldstab et al 2016,312500.00,Botero et al 2013,0,Botero et al 2013,1,Myers et al 2006,3,Heldstab et al 2017,2,Wilman et al 2014,71.68,Jones et al 2009
Artiodactyla,Ovis ammon,140.00,Isler and van Schaik 2012,55000.00,Isler and van Schaik 2012,0,Botero et al 2013,0,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,41.17,Jones et al 2009
Artiodactyla,Pecari tajacu,102.14,Graber and Heldstab unpublished data,18309.00,Isler and van Schaik 2012,0,Botero et al 2013,0,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,0.14,Jones et al 2009
Artiodactyla,Pelea capreolus,121.00,Isler and van Schaik 2012,24000.00,Isler and van Schaik 2012,0,Botero et al 2013,1,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,-28.71,Jones et al 2009
Artiodactyla,Phacochoerus aethiopicus,138.00,Graber and Heldstab unpublished data,59300.00,Isler and van Schaik 2009,0,Botero et al 2013,1,Animal Diversity Web,3,Jones et al 2009,3,Animal Diversity Web,4.71,Jones et al 2009
Artiodactyla,Philantomba maxwellii,61.00,Graber and Heldstab unpublished data,3356.67,Isler and van Schaik 2012,0,Geiser1998,0,Isler and van Schaik 2012,3,Isler and van Schaik 2012,2,Isler and van Schaik 2012,9.10,Jones et al 2009
Artiodactyla,Philantomba monticola,47.42,Graber and Heldstab unpublished data,4500.00,Haarmann and Oboussier 1972,0,Geiser1998,1,Jones et al 2009,3,Jones et al 2009,2,Animal Diversity Web,-12.45,Jones et al 2009
Artiodactyla,Potamochoerus porcus,155.60,Bauchot 1985,130000.00,Bauchot 1985,0,Botero et al 2013,0,Jones et al 2009,3,Heldstab et al 2017,3,Wilman et al 2014,2.71,Jones et al 2009
Artiodactyla,Pudu puda,63.00,Graber and Heldstab unpublished data,9642.62,Botero et al 2013,0,Botero et al 2013,0,Jones et al 2009,3,Jones et al 2009,1,Animal Diversity Web,-43.69,Jones et al 2009
Artiodactyla,Rangifer tarandus,305.36,Heldstab et al 2016,106360.00,Isler and van Schaik 2012,0,Geiser1998,1,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,64.59,Jones et al 2009
Artiodactyla,Raphicerus campestris,50.70,Graber and Heldstab unpublished data,10200.00,Isler and van Schaik 2012,0,Botero et al 2013,1,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,-16.61,Jones et al 2009
Artiodactyla,Raphicerus melanotis,43.00,Graber and Heldstab unpublished data,10650.00,Haarmann and Oboussier 1972,0,Botero et al 2013,0,Animal Diversity Web,3,Jones et al 2009,1,Animal Diversity Web,-32.31,Jones et al 2009
Artiodactyla,Redunca arundinum,136.80,Isler and van Schaik 2012,38200.00,Isler and van Schaik 2012,0,Botero et al 2013,0,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,-16.58,Jones et al 2009
Artiodactyla,Redunca fulvorufula,106.00,Heldstab et al 2016,33000.00,Oboussier 1970,0,Botero et al 2013,0,Jones et al 2009,3,Heldstab et al 2016,1,Wilman et al 2014,-12.32,Jones et al 2009
Artiodactyla,Redunca redunca,123.50,Graber and Heldstab unpublished data,47500.00,von Tyszka 1966,0,Botero et al 2013,0,Jones et al 2009,3,Jones et al 2009,1,Animal Diversity Web,2.21,Jones et al 2009
Artiodactyla,Rupicapra rupicapra,117.83,Isler and van Schaik 2012,27167.00,Isler and van Schaik 2012,0,Botero et al 2013,1,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,43.50,Jones et al 2009
Artiodactyla,Rusa unicolor,355.00,Graber and Heldstab unpublished data,162000.00,Isler and van Schaik 2009,0,Geiser1998,0,Animal Diversity Web,3,Jones et al 2009,1,Jones et al 2009,12.02,Jones et al 2009
Artiodactyla,Saiga tatarica,96.67,Graber and Heldstab unpublished data,40000.00,Ronneveld 1969,0,Botero et al 2013,0,Jones et al 2009,3,Jones et al 2009,1,Animal Diversity Web,46.67,Jones et al 2009
Artiodactyla,Sus scrofa,178.67,Graber and Heldstab unpublished data,117000.00,Isler and van Schaik 2012,0,Geiser1998,0,Isler and van Schaik 2012,3,Isler and van Schaik 2012,3,Isler and van Schaik 2012,25.60,Jones et al 2009
Artiodactyla,Sylvicapra grimmia,74.67,Graber and Heldstab unpublished data,12625.00,Isler and van Schaik 2012,0,Botero et al 2013,0,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,-9.22,Jones et al 2009
Artiodactyla,Syncerus caffer,631.50,Isler and van Schaik 2012,571880.00,Isler and van Schaik 2012,0,Botero et al 2013,0,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,-8.82,Jones et al 2009
Artiodactyla,Taurotragus derbianus,534.00,Isler and van Schaik 2012,900000.00,Isler and van Schaik 2012,0,Geiser1998,1,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,8.76,Jones et al 2009
Artiodactyla,Taurotragus oryx,440.00,Isler and van Schaik 2012,400000.00,Isler and van Schaik 2012,0,Geiser1998,1,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,-10.10,Jones et al 2009
Artiodactyla,Tragelaphus angasii,230.00,Isler and van Schaik 2012,137000.00,Isler and van Schaik 2012,0,Botero et al 2013,1,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,-22.04,Jones et al 2009
Artiodactyla,Tragelaphus buxtoni,330.00,Isler and van Schaik 2012,280000.00,Isler and van Schaik 2012,0,Botero et al 2013,0,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,7.76,Jones et al 2009
Artiodactyla,Tragelaphus eurycerus,379.00,Oboussier 1978,210000.00,Oboussier 1978,0,Botero et al 2013,1,Wilman et al 2014,3,Jones et al 2009,1,Wilman et al 2014,2.08,Jones et al 2009
Artiodactyla,Tragelaphus imberbis,209.67,Graber and Heldstab unpublished data,145000.00,Isler and van Schaik 2012,0,Botero et al 2013,0,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,3.92,Jones et al 2009
Artiodactyla,Tragelaphus scriptus,143.33,Isler and van Schaik 2012,30293.33,Isler and van Schaik 2012,0,Botero et al 2013,0,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,-9.36,Jones et al 2009
Artiodactyla,Tragelaphus spekii,145.00,Isler and van Schaik 2012,42000.00,Isler and van Schaik 2012,0,Botero et al 2013,0,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,-3.27,Jones et al 2009
Artiodactyla,Tragelaphus strepsiceros,340.83,Graber and Heldstab unpublished data,280000.00,Isler and van Schaik 2012,0,Botero et al 2013,1,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,-6.95,Jones et al 2009
Artiodactyla,Tragulus javanicus,13.29,Graber and Heldstab unpublished data,2037.00,Isler and van Schaik 2012,0,Geiser1998,0,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,-7.40,IUCN 2017
Artiodactyla,Tragulus napu,18.40,Isler and van Schaik 2012,2590.00,Isler and van Schaik 2012,0,Botero et al 2013,0,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,4.18,Jones et al 2009
Artiodactyla,Vicugna vicugna,199.90,Isler and van Schaik 2012,46214.77,Isler and van Schaik 2012,0,Botero et al 2013,1,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,-19.50,Jones et al 2009
Carnivora,Acinonyx jubatus,111.00,Graber and Heldstab unpublished data,43000.00,Isler and van Schaik 2012,0,Heldstab et al 2018,1,Isler and van Schaik 2012,3,Isler and van Schaik 2012,4,Isler and van Schaik 2012,4.24,Jones et al 2009
Carnivora,Ailuropoda melanoleuca,236.00,Graber and Heldstab unpublished data,87500.00,Isler and van Schaik 2012,0,Botero et al 2013,0,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,30.76,Jones et al 2009
Carnivora,Ailurus fulgens,42.50,Graber and Heldstab unpublished data,5400.00,Isler and van Schaik 2012,0,Botero et al 2013,0,Isler and van Schaik 2012,3,Isler and van Schaik 2012,1,Isler and van Schaik 2012,28.38,Jones et al 2009
Carnivora,Aonyx capensis,94.63,Isler and van Schaik 2012,19110.00,Isler and van Schaik 2012,0,Botero et al 2013,0,Isler and van Schaik 2012,1,Isler and van Schaik 2012,4,Isler and van Schaik 2012,-8.89,Jones et al 2009
Carnivora,Aonyx cinerea,31.95,Graber and Heldstab unpublished data,4060.00,Gittleman 1986,0,Botero et al 2013,1,Animal Diversity Web,1,Animal Diversity Web,4,Animal Diversity Web,11.30,Jones et al 2009
Carnivora,Arctictis binturong,44.33,Graber and Heldstab unpublished data,11500.00,Isler and van Schaik 2006,0,Botero et al 2013,0,Animal Diversity Web,4,Animal Diversity Web,3,Animal Diversity Web,9.84,Jones et al 2009
Carnivora,Arctocephalus australis,265.00,Isler and van Schaik 2012,48500.00,Isler and van Schaik 2012,0,Kalman 2000,0,Isler and van Schaik 2012,1,Isler and van Schaik 2012,4,Isler and van Schaik 2012,-35.50,Heldstab et al 2018
Carnivora,Arctocephalus forsteri,300.00,Bininda-Emonds 2000,55000.00,Bininda-Emonds 2000,0,Kalman 2000,0,Jones et al 2009,1,Jones et al 2009,4,Jones et al 2009,-43.90,IUCN 2017
Carnivora,Arctocephalus galapagoensis,233.67,Graber and Heldstab unpublished data,27400.00,Isler and van Schaik 2012,0,Kalman 2000,0,Isler and van Schaik 2012,1,Isler and van Schaik 2012,4,Isler and van Schaik 2012,-0.40,IUCN 2017
Carnivora,Arctocephalus gazella,322.00,Isler and van Schaik 2012,38200.00,Isler and van Schaik 2012,0,Kalman 2000,0,Isler and van Schaik 2012,1,Isler and van Schaik 2012,4,Isler and van Schaik 2012,-58.50,IUCN 2017
Carnivora,Arctocephalus philippii,415.00,Bininda-Emonds 2000,140000.00,Bininda-Emonds 2000,0,Kalman 2000,0,Jones et al 2009,1,Jones et al 2009,4,Jones et al 2009,-33.30,IUCN 2017
Carnivora,Arctocephalus pusillus,337.50,Isler and van Schaik 2012,78000.00,Isler and van Schaik 2012,0,Kalman 2000,0,Isler and van Schaik 2012,1,Isler and van Schaik 2012,4,Isler and van Schaik 2012,-31.70,Heldstab et al 2018
Carnivora,Arctocephalus tropicalis,326.25,Isler and van Schaik 2012,50000.00,Isler and van Schaik 2012,0,Kalman 2000,0,Isler and van Schaik 2012,1,Isler and van Schaik 2012,4,Isler and van Schaik 2012,-45.10,IUCN 2017
Carnivora,Arctonyx collaris,49.40,Isler and van Schaik 2012,10490.00,Isler and van Schaik 2012,1,Botero et al 2013,0,Isler and van Schaik 2012,3,Isler and van Schaik 2012,3,Isler and van Schaik 2012,16.92,Jones et al 2009
