Group,Genus species,brain mass,Ref. brain mass,body mass,Ref. body mass,hibernation,Ref. hibernation,diurnality,Ref. diurnality,substrate use,Ref. substrate use,diet,Ref. diet,mid-latitude of geographical distribution ,Ref. mid-latitude of geographical distribution
Primates,Alouatta palliata,48.00,Isler and van Schaik 2012,5350.00,Isler and van Schaik 2012,0,Botero et al 2013,1,Isler and van Schaik 2012,4,Isler and van Schaik 2012,2,Isler and van Schaik 2012,6.95,Jones et al 2009
Primates,Alouatta pigra,55.41,van Woerden 2010,5210.00,Isler et al 2008,0,Botero et al 2013,1,Jones et al 2009,4,Jones et al 2009,2,All the World's Primates,18.80,Jones et al 2009
Primates,Alouatta seniculus,54.30,Isler and van Schaik 2012,5210.00,Isler and van Schaik 2012,0,Botero et al 2013,1,Isler and van Schaik 2012,4,Isler and van Schaik 2012,2,Isler and van Schaik 2012,0.68,Jones et al 2009
Primates,Aotus azarae,20.70,Isler and van Schaik 2012,1250.00,Isler and van Schaik 2012,0,Botero et al 2013,0,Isler and van Schaik 2012,4,Isler and van Schaik 2012,3,Isler and van Schaik 2012,-17.05,Jones et al 2009
Primates,Aotus lemurinus,16.30,Isler and van Schaik 2012,716.00,Isler and van Schaik 2012,0,van Woerden et al 2010,0,Isler and van Schaik 2012,4,Isler and van Schaik 2012,3,Isler and van Schaik 2012,6.21,Jones et al 2009
Primates,Aotus nancymaae,17.89,van Woerden et al 2010,787.00,Aquino and Encarnacion 1986,0,van Woerden et al 2010,0,Animal Diversity Web,4,Animal Diversity Web,3,Animal Diversity Web,-4.59,Jones et al 2009
Primates,Aotus trivirgatus,16.07,Isler and van Schaik 2012,933.00,Isler and van Schaik 2012,0,Botero et al 2013,0,Isler and van Schaik 2012,4,Isler and van Schaik 2012,3,Isler and van Schaik 2012,4.15,Jones et al 2009
Primates,Aotus vociferans,17.70,van Woerden 2010,703.00,Isler et al 2008,0,Botero et al 2013,0,Jones et al 2009,4,Jones et al 2009,3,Jones et al 2009,1.06,Jones et al 2009
Primates,Arctocebus aureus,5.89,van Woerden et al 2010,200.00,van Woerden et al 2010,0,Botero et al 2013,0,All the World's Primates,4,All the World's Primates,4,All the World's Primates,-0.41,Jones et al 2009
Primates,Arctocebus calabarensis,7.41,van Woerden et al 2010,309.00,van Woerden et al 2010,0,Botero et al 2013,0,Animal Diversity Web,4,Animal Diversity Web,4,Animal Diversity Web,5.52,Jones et al 2009
Primates,Ateles belzebuth,112.70,Isler and van Schaik 2012,8484.43,Isler and van Schaik 2012,0,van Woerden et al 2010,1,Isler and van Schaik 2012,4,Isler and van Schaik 2012,2,Isler and van Schaik 2012,-0.44,Jones et al 2009
Primates,Ateles fusciceps,108.70,Isler and van Schaik 2012,9160.00,Isler and van Schaik 2012,0,van Woerden et al 2010,1,Isler and van Schaik 2012,4,Isler and van Schaik 2012,2,Isler and van Schaik 2012,6.44,Jones et al 2009
Primates,Ateles geoffroyi,109.60,Isler and van Schaik 2012,7290.00,Isler and van Schaik 2012,0,van Woerden et al 2010,1,Isler and van Schaik 2012,4,Isler and van Schaik 2012,2,Isler and van Schaik 2012,12.38,Jones et al 2009
